( color, yellow )
( size, sm )
( tool, pen )
( drag,{ x: 3, y: 48.54166 } )
( drag,{ x: 11, y: 36.54166 } )
( drag,{ x: 16, y: 29.54166 } )
( drag,{ x: 16, y: 28.54166 } )
( drag,{ x: 16, y: 26.54166 } )
( drag,{ x: 18, y: 26.54166 } )
( up, { x: 18, y: 26.54166 } )
( down,{ x: 79, y: 13.54166 } )
( drag,{ x: 79, y: 13.54166 } )
( drag,{ x: 79, y: 24.54166 } )
( drag,{ x: 79, y: 64.54166 } )
( drag,{ x: 79, y: 70.54166 } )
( drag,{ x: 79, y: 66.54166 } )
( drag,{ x: 96, y: 6.54166 } )
( drag,{ x: 134, y: -79.45834 } )
( drag,{ x: 146, y: -94.45834 } )
( drag,{ x: 146, y: -91.45834 } )
( drag,{ x: 91, y: 32.54166 } )
( drag,{ x: 28, y: 181.54166 } )
( drag,{ x: -22, y: 302.54166 } )
( drag,{ x: -34, y: 325.54166 } )
( drag,{ x: -34, y: 292.54166 } )
( drag,{ x: 31, y: 117.54166 } )
( drag,{ x: 88, y: 17.54166 } )
( drag,{ x: 104, y: 2.54166 } )
( drag,{ x: 107, y: 9.54166 } )
( drag,{ x: 82, y: 90.54166 } )
( drag,{ x: 40, y: 153.54166 } )
( drag,{ x: 28, y: 156.54166 } )
( drag,{ x: 54, y: 50.54166 } )
( drag,{ x: 75, y: 13.54166 } )
( drag,{ x: 88, y: -2.45834 } )
( drag,{ x: 83, y: 25.54166 } )
( drag,{ x: 59, y: 72.54166 } )
( drag,{ x: 43, y: 96.54166 } )
( drag,{ x: 43, y: 80.54166 } )
( drag,{ x: 71, y: 25.54166 } )
( drag,{ x: 84, y: 8.54166 } )
( drag,{ x: 90, y: 10.54166 } )
( drag,{ x: 42, y: 156.54166 } )
( drag,{ x: 15, y: 213.54166 } )
( drag,{ x: 2, y: 237.54166 } )
( drag,{ x: 15, y: 138.54166 } )
( drag,{ x: 51, y: 49.54166 } )
( drag,{ x: 62, y: 32.54166 } )
( drag,{ x: 64, y: 33.54166 } )
( drag,{ x: 62, y: 98.54166 } )
( drag,{ x: 50, y: 128.54166 } )
( drag,{ x: 47, y: 124.54166 } )
( drag,{ x: 63, y: 93.54166 } )
( drag,{ x: 70, y: 85.54166 } )
( drag,{ x: 71, y: 98.54166 } )
( drag,{ x: 62, y: 117.54166 } )
( drag,{ x: 58, y: 122.54166 } )
( drag,{ x: 62, y: 85.54166 } )
( drag,{ x: 72, y: 53.54166 } )
( drag,{ x: 74, y: 49.54166 } )
( drag,{ x: 74, y: 48.54166 } )
( drag,{ x: 78, y: 28.54166 } )
( drag,{ x: 84, y: 8.54166 } )
( drag,{ x: 86, y: 4.54166 } )
( drag,{ x: 86, y: 1.54166 } )
( drag,{ x: 86, y: -3.45834 } )
( drag,{ x: 84, y: -3.45834 } )
( drag,{ x: 75, y: -3.45834 } )
( drag,{ x: 67, y: 0.54166 } )
( drag,{ x: 60, y: 4.54166 } )
( drag,{ x: 60, y: 6.54166 } )
( drag,{ x: 60, y: 9.54166 } )
( drag,{ x: 66, y: 13.54166 } )
( drag,{ x: 91, y: 33.54166 } )
( drag,{ x: 99, y: 40.54166 } )
( up, { x: 99, y: 40.54166 } )
( down,{ x: 98, y: 138.54166 } )
( drag,{ x: 98, y: 141.54166 } )
( drag,{ x: 91, y: 168.54166 } )
